Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,2124,0,280.0,289.7146590385742,249.4624000391923,789.28879997693,4958.0,78.09061446047654,0.0,280,280,290,290,320,340,550,580,760,790,790
,Aggregated,2124,0,280.0,289.7146590385742,249.4624000391923,789.28879997693,4958.0,78.09061446047654,0.0,280,280,290,290,320,340,550,580,760,790,790
