Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,//,2013,0,260.0,283.6649025332019,236.28810001537204,1372.5337999640033,4958.0,76.4160037534931,0.0,260,270,270,280,290,320,580,870,1400,1400,1400
,Aggregated,2013,0,260.0,283.6649025332019,236.28810001537204,1372.5337999640033,4958.0,76.4160037534931,0.0,260,270,270,280,290,320,580,870,1400,1400,1400
